"species","arbutus-ridge","downtown","dunbar-southlands","fairview","grandview-woodland","hastings-sunrise","kensington-cedar cottage","kerrisdale","killarney","kitsilano","marpole","mount pleasant","oakridge","renfrew-collingwood","riley park","shaughnessy","south cambie","strathcona","sunset","victoria-fraserview","west end","west point grey"
"OFFICIANALIS",0,0,0,0,6,2,0,0,0,6,0,0,0,12,0,0,0,4,0,0,0,0
"RHAMNOIDES",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SINENSIS",0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"SWEETHEART",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRANSITORIA",0,0,0,0,1,1,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0
"VILMORINII",0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ZENII",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARGUTUM",0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0
"ARMENIACA",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHINENSIS",0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"COLURNA",0,0,0,0,0,1,3,0,6,0,0,0,0,14,0,0,2,0,15,0,10,0
"ELATA",0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"GARRYANA",0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"HILLIERI",0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,24,0,0,0
"LIKIANGENSIS",0,0,0,0,0,4,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0
"MAS",0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,12
"MATSUDANA",0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"MICROMALUS   X",0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MONOGYNA",0,0,0,0,0,27,2,0,2,4,0,0,2,0,5,0,11,0,0,0,0,0
"PARVIFLORA",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PURSHIANA",0,0,0,0,0,1,10,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0
"SITCHENSIS",0,0,0,0,0,3,31,0,0,3,0,0,1,34,0,1,0,0,0,0,0,3
"STELLATA",0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"TASHKENTENSIS",0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"THUNBERGII",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X WAREI",0,0,0,0,0,11,0,0,3,0,2,0,2,15,0,0,0,0,2,0,0,0
