"street_block","street_use","neighbourhood","street_length"
"1000 SMITHE ST","Arterial","west end",111.329526558507
"1100 COMOX ST","Residential","west end",221.303916733266
"800-900 NICOLA ST","Residential","west end",55.0055977235615
"900 JERVIS ST","Residential","west end",55.0055577642225
"700 BURRARD ST","Arterial","downtown",3.34256461385242
"700 BURRARD ST","Arterial","west end",61.6777317866742
"1200 E 37TH AV","Residential","kensington-cedar cottage",9.56646146750376
"400 E 34TH AV","Residential","riley park",47.3855677756833
"4900 PRINCE EDWARD ST","Residential","riley park",45.1369276971894
"300 E 29TH AV","Residential","riley park",39.1025237855026
"4500 PRINCE EDWARD ST","Residential","riley park",42.3513113141461
"400 AUBREY PLACE","Residential","riley park",198.087145963074
"200 E 30TH AV","Residential","riley park",45.9187417184343
"4500 PRINCE EDWARD ST","Residential","riley park",45.4162001160873
"100 E 28TH AV","Residential","riley park",51.2623701076277
"4200-4300 MAIN ST","Arterial","riley park",14.5768545312625
"1300 JERVIS ST","Residential","west end",55.023514182741
"1300 BROUGHTON ST","Residential","west end",54.9610952048859
"5600 GLADSTONE ST","Residential","kensington-cedar cottage",57.1433860389653
"5800 ELM ST","Residential","kerrisdale",49.1079158278925
"2200 W 40TH AV","Residential","arbutus-ridge",97.2374993956713
"2200 W 36TH AV","Residential","arbutus-ridge",116.769552629011
"5100 TRAFALGAR ST","Residential","arbutus-ridge",53.2684070339532
"4200 TRAFALGAR ST","Residential","arbutus-ridge",62.8347423797793
"4300 BRAKENRIDGE ST","Residential","arbutus-ridge",53.1157903553975
"4200 BRAKENRIDGE ST","Residential","arbutus-ridge",50.5236722424354
"3800 SLOCAN ST","Secondary Arterial","renfrew-collingwood",49.6572476065365
"5100-5300 ELGIN ST","Residential","kensington-cedar cottage",195.197776732153
"4900-5000 WINDSOR ST","Residential","kensington-cedar cottage",178.501567331747
"5100-5300 WINDSOR ST","Residential","kensington-cedar cottage",195.340863810538
"4700-4800 CULLODEN ST","Residential","kensington-cedar cottage",166.959442239762
"900 E 31ST AV","Residential","kensington-cedar cottage",43.5953693400831
"4700-4800 WINDSOR ST","Residential","kensington-cedar cottage",44.1617917227156
"1300 E 31ST AV","Residential","kensington-cedar cottage",47.0727736695138
"800 DURWARD AV","Residential","kensington-cedar cottage",140.499595245854
"2700 ARBUTUS ST","Arterial","kitsilano",53.2963909087251
"2700 CYPRESS ST","Residential","kitsilano",53.2313608058599
"200 PRIOR ST","Secondary Arterial","strathcona",159.103524049539
"500 JACKSON AV","Residential","strathcona",100.652272150181
"600 HEATLEY AV","Residential","strathcona",50.6066485950485
"800 HEATLEY AV","Residential","strathcona",100.324967644898
"200 GORE AV","Residential","strathcona",50.7704650563168
"0 JACKSON AV","Residential","strathcona",41.7937810809974
"200 JACKSON AV","Residential","strathcona",50.2261609213393
"5400 CLARENDON ST","Collector","renfrew-collingwood",56.012038009638
"2700 E 41ST AV","Arterial","renfrew-collingwood",48.774126306804
"2500-2600 E 42ND AV","Residential","victoria-fraserview",164.024137324196
"2500-2600 E 42ND AV","Residential","victoria-fraserview",47.2791586743081
"5300 VICTORIA DRIVE","Secondary Arterial","kensington-cedar cottage",84.1112376915227
"2900 E 41ST AV","Arterial","renfrew-collingwood",59.5551716830123
"900 E BROADWAY","Arterial","mount pleasant",140.7862740366
"2500 ST. CATHERINES ST","Residential","mount pleasant",50.2475826805842
"800 E 12TH AV","Secondary Arterial","mount pleasant",140.810613852261
"3000 ST. CATHERINES ST","Residential","mount pleasant",52.0703628932368
"700 E 18TH AV","Residential","kensington-cedar cottage",73.3035761813202
"2700 BURRARD ST","Secondary Arterial","kitsilano",51.1783887712493
"1800 W 11TH AV","Residential","kitsilano",172.460278354221
"1800 W 10TH AV","Residential","kitsilano",172.50854626894
"2100 W 12TH AV","Secondary Arterial","kitsilano",172.362557247846
"2100 W 13TH AV","Residential","kitsilano",172.449916280416
"2100 W 10TH AV","Residential","kitsilano",61.410414889542
"2500 BURRARD ST","Secondary Arterial","kitsilano",51.1513458274732
"2600 E 8TH AV","Residential","hastings-sunrise",190.673148535636
"1600 W 11TH AV","Residential","fairview",172.459058335328
"2500 FIR ST","Secondary Arterial","fairview",51.1719429082678
"2900 PINE ST","Residential","fairview",51.1213039342395
"2900 FIR ST","Secondary Arterial","fairview",51.1716528168415
"1200 W 13TH AV","Residential","fairview",172.417420886168
"2600 BIRCH ST","Residential","fairview",51.2233474582928
"200 E 6TH AV","Residential","mount pleasant",87.4284118175698
"300 E 5TH AV","Residential","mount pleasant",140.642636525043
"2100 BRUNSWICK ST","Residential","mount pleasant",50.2341339913386
"2100 SCOTIA ST","Residential","mount pleasant",50.543587379981
"2700 W 37TH AV","Residential","arbutus-ridge",169.875909971763
"3600 MACDONALD ST","Secondary Arterial","arbutus-ridge",50.2688995114611
"2800 W 19TH AV","Residential","arbutus-ridge",172.070062621443
"2700 W 19TH AV","Residential","arbutus-ridge",140.937785396854
"3900 PUGET DRIVE","Residential","arbutus-ridge",64.7252402228262
"3000 W 22ND AV","Residential","arbutus-ridge",37.8905706733722
"3800 VALDEZ ROAD","Residential","arbutus-ridge",3.63905018414388
"3800 VALDEZ ROAD","Residential","dunbar-southlands",90.0335957212467
"3800 PUGET DRIVE","Residential","arbutus-ridge",4.40568950301702
"3000-3100 W 20TH AV","Residential","arbutus-ridge",184.84964356288
"2100 KASLO ST","Residential","hastings-sunrise",55.2970349381973
"2000 RUPERT ST","Secondary Arterial","hastings-sunrise",106.297299049006
"3100 E 5TH AV","Residential","hastings-sunrise",183.858890448845
"2300 WINDERMERE ST","Residential","hastings-sunrise",50.3472657160677
"2300 RUPERT ST","Secondary Arterial","hastings-sunrise",100.604114827597
"4400 SELKIRK ST","Residential","shaughnessy",10.2784684660926
"2900 E 44TH AV","Residential","killarney",205.340165969292
"4100 GLADSTONE ST","Residential","kensington-cedar cottage",41.1208689126565
"4100 GLADSTONE ST","Residential","kensington-cedar cottage",59.1157351125935
"4100 GLADSTONE ST","Residential","kensington-cedar cottage",81.8886685786627
"2200-2300 E 27TH AV","Residential","kensington-cedar cottage",78.1631201516584
"4400 NOOTKA ST","Secondary Arterial","renfrew-collingwood",47.8233212178527
"4300-4400 ATLIN ST","Residential","renfrew-collingwood",185.665739987211
